"","de","en","es","fr","hu","it","ja","ko","nl","pl","pt","ru","zh-tw","zh","en-gb","tr","uk","cz","sk","th","ro","oc","ar","id","vi","fi"
"Gameplay.Button:Filter Disable despawning vehicle type","Despawn-Funktion nach Fahrzeugtyp filtern","Filter Disable despawning vehicle types","Desactivar la desaparición de tipos de vehículo","Filtre Désactiver le type de véhicule qui disparaît","","Filter Disabilita despawning del tipo di veicolo","車両タイプでデスポーンを無効化","유형별로 차 사라짐 비활성화","Filter despawn-functie per voertuigtype","Filtruj rodzaj pojazdów","Filtrar Desativar desaparecimento de tipos de veículo","","選擇要消除的載具類型","禁止消失车辆类型过滤器","Filter Disable despawning vehicle types","Yok olan araç türünü devre dışı bırak","Фільтрувати тип транспорту, що видаляється","Vypnout vynulování pro určitý druh vozidel","","กำจัดภาหนะทิ้งแบบแยกประเภท","","","","Nonaktifkan Despawn pada jenis kendaraan","",""
"Gameplay.Checkbox:Allow Buses in Old Town districts","Erlaube Busse in Altstadt-Bezirken","Allow Buses in Old Town districts","Permitir autobuses en distritos ""Old Town""","Autoriser les bus dans les quartiers de la vieille ville","","Consenti Bus nei distretti della Città Vecchia","条例「昔ながらの街」の制定地区でバスを許可","'올드 타운' 구역에서 버스 운행 허용","Bussen toestaan in oude stadswijken","Zezwalaj na autobusy w dzielnicach Stare Miasto","Permitir ônibus em distritos de cidade antiga","Разрешить автобусы в районе старого города","老城區可行駛公車","允许在旧城区中使用巴士","Allow Buses in Old Town districts","Eski Kent bölgelerinde Otobüslere İzin Ver","Дозволити автобуси у районах Старого Міста","Povolí autobusy v starších částech okrsků","Povoliť autobusy v historických štvrtiach","อนุญาตให้รถโดยสารประจำทาง เข้าเขตเมืองเก่า","","","","Izinkan bis di distrik Kota Tua","",""
"Gameplay.Checkbox:Allow Taxis in Old Town districts","Erlaube Taxis in Altstadt-Bezirken","Allow Taxis in Old Town districts","Permitir taxis en distritos ""Old Town""","Case à cocher : Autoriser les taxis dans les quartiers de la vieille ville","","Consenti Taxi nei distretti della Città Vecchia","条例「昔ながらの街」の制定地区でタクシーを許可","'올드 타운' 구역에서 택시 운행 허용","Taxi's toestaan in oude stadswijken","Zezwalaj na taksówki w dzielnicach Stare Miasto","Permitir Taxis em distritos de cidade antiga","Разрешить такси в районе старого города","老城區可行駛計程車","允许在旧城区中使用出租车","Allow Taxis in Old Town districts","Eski Kent bölgelerinde taksilere izin ver","Дозволити таксі у районах Старого Міста","Povolí taxi službu v starších částech okrsků","Povoliť taxíky v historických štvrtiach","อนุญาตให้รถรับจ้าง เข้าเขตเมืองเก่า","","","","Izinkan taksi di distrik Kota Tua","",""
"Maintenance.Group:Allowed to despawn","Despawnen erlaubt","Allowed to despawn","Permitir aparación","Autorisés à disparaître","","Consentito alla comparsa","デスポーンを許可","사라짐 허용 차량","Despawning toegestaan","Dozwolone do usunięcia","","Разрешено удалить","允許清除","允许消失","Allowed to despawn","Yok olmaya izin verildi","Дозволено видалити","Povolené k vynulování","","เลือกประเภทภาหนะ ที่ให้เกมส์กำจัดทิ้งได้เมื่อใช้งานเสร็จ","","","","Diizinkan untuk menghilang","",""
"AllowDespawn.Checkbox:Passenger Cars","Privatfahrzeuge","Passenger cars","Vehículos de pasajeros","Voitures","","Autoveicoli","乗用車","승용차","Particuliere voertuigen","Samochody osobowe","","Легковые автомобили","汽車","客车","Passenger cars","Arabalar","Пасажирські авто","Osobní automobily","Osobné autá","รถยนต์ส่วนตัว","","","","Mobil Penumpang","",""
"AllowDespawn.Checkbox:Buses","Busse","Buses","Autobuses","Bus","","Autobus","バス","버스","Bussen","Autobusy","","Автобусы","公車","巴士","Buses","Otobüsler","Автобуси","Autobusy","Autobusy","รถโดยสารประจำทาง","","","","Bis","",""
"AllowDespawn.Checkbox:Taxis","Taxis","Taxis","Taxis","Taxis","","Taxis","タクシー","택시","Taxi's","Taksówki","","Такси","計程車","出租车","Taxis","Taksiler","Таксі","Taxi služba","Taxíky","แทกซี่","","","","Taksi","",""
"AllowDespawn.Checkbox:Trams","Trams","Trams","Tranvías","Tram","","Trams","トラム","노면전차","Trams","Tramwaje","","Трамваи","有軌電車","有轨电车","Trams","Tramvaylar","Трамваї","Tramvaje","Električky","รถราง","","","","Trem","",""
"AllowDespawn.Checkbox:Trolleybuses","Trolleybusse","Trolleybuses","Trolebuses","Trolleybus","","Filobus","トローリーバス","무궤도전차","Trolleybussen","Trolejbusy","","Троллейбусы","無軌電車","无轨电车","Trolleybuses","Troleybüs","Тролейбуси","Trolejbusy","Trolejbusy","รถโดยสารประจำทางไฟฟ้า","","","","Bus Troli","",""
"AllowDespawn.Checkbox:Passenger Trains","Passagierzüge","Passenger trains","Trenes de pasajeros","Trains de passagers","","Treni Passeggeri","旅客列車","여객열차","Passagierstreinen","Pociągi pasażerskie","","Пассажирские поезда","客運列車","客运列车","Passenger trains","Yolcu Trenleri","Пасажирські поїзди","Osobní vlaky","Osobné vlaky","รถไฟโดยสาร","","","","Kereta Penumpang","",""
"AllowDespawn.Checkbox:Cargo Trains","Güterzüge","Cargo trains","Trenes de carga","Trains de marchandises","","Treni Cargo","貨物列車","화물열차","Goederentreinen","Pociągi towarowe","","Грузовые поезда","貨運列車","货运列车","Cargo trains","Kargo Trenleri","Товарні поїзди","Nákladní vlaky","Nákladné vlaky","รถไฟขนส่งสินค้า","","","","Kereta Kargo","",""
"AllowDespawn.Checkbox:Cargo Trucks","Lastkraftwagen","Cargo trucks","Camiones de carga","Camions de marchandises","","Camion da Trasporto","トラック","화물차","Vrachtwagens","Samochody ciężarowe","","Грузовые автомобили","卡車","运货卡车","Cargo trucks","Kargo Tırları","Вантажівки","Nákladní vozidla","Nákladné vozidlá","รถบรรทุกสินค้าขนาดใหญ่","","","","Truk Kargo","",""
"AllowDespawn.Checkbox:Service vehicles","Dienstfahrzeuge","Service vehicles","Vehículos de servicio","Véhicules de service","","Veicoli di servizio","都市サービスの車両","공공서비스 차량","Dienstvoertuigen","Pojazdy usługowe","","Служебный транспорт","市政服務車輛","服务车辆","Service vehicles","Servis Araçları","Службові транспортні засоби","Vozidla městských služeb","Vozidlá mestských služieb","พาหนะ สาธารณูปโภค","","","","Kendaraan Dinas","",""
"VR.Checkbox:Enable highway merging rules","Vereinfachte Regeln für das Zusammenführen von Autobahnen aktivieren","Enable lightweight merging rules","Habilitar reglas de incoporación de vías en las autopistas","Activer les règles de convergence sur autoroute","","Abilita regole di fusione autostradale","高速道路の合流ルールを有効化","간소화된 고속도로 병합 규칙 활성화","Activeer vereenvoudigde regels voor het invoegen op snelwegen","Aktywuj złagodzone zasady łączenia pasów dla autostrad","Habilitar regras de mesclagem de rodovia","Включить правила слияния автомагистралей","高速公路實施輕量版特定車道進出規則","启用高速公路特定车道合流/分离规则","Enable lightweight merging rules","Otobana özel şerit tümleştirme kurallarını etkinleştir","Увімкнути правила злиття шосе","Povolí pravidla řazení v jízdních pruzích na dálnici","","ใช้กฎการแทรกเข้าทางหลวงอย่างตายตัว","","","","Aktifkan aturan penggabungan jalan raya","",""
"VR.Tooltip: Lightweight merging rules","Ähnlich der Autobahnregeln, aber Spurpfeile können geändert werden","Similar to highway rules but does not restrict the user from modifying lane arrows","Regñas de incoporación de bajo peso","Règles de convergence simplifiées","","Leggére regole di fusione","軽量化した合流ルール","고속도로 규칙과 비슷하지만 차선 화살표 변경에 제한 없음","Vergelijkbaar met snelwegregels, maar rijstrookpijlen kunnen worden gewijzigd","Podobnie do Zmienione zasady podziału/łączenia pasów, natomiast nie narzuca i nie blokuje możliwości zmiany strzałek pasów ruchu","Regras de mesclagem leves","Аналогичен правилам автомагистралей, однако не блокирует возможность изменения стрелок полос","輕量版不限制更改道路箭頭","轻量合并规则","Similar to highway rules but does not restrict the user from modifying lane arrows","Hafif birleştirme kuralları","Подібно до правил поділу/з’єднання смуг, але не блокує можливість змінювати стрілки смуг","Obdoba pravidel na dálnici ale bez omezení možnosti změny jízdných pruhů","","ใช้กฎการแทรกเข้าทางหลวงเป็นหลัก แต่สามารถกำหนดศรของแต่ละเลนได้เอง","","","","Aturan penggabungan yang ringan","",""
